STATION_NAME;NAT_ABBR;LATITUDE;LONGITUDE;XCOORD;YCOORD;ELEVATION
Lugano;LUG;46.004; 8.9603;717874; 95884; 273.00
Lungern;LUN;46.785; 8.1625;655275;181800; 740.00
Luthern;LUT;47.058; 7.9186;636465;212020; 767.00
Luzern;LUZ;47.036; 8.3010;665540;209848; 454.00
Madiswil;MAD;47.160; 7.7973;627198;223330; 542.00
Magadino / Cadenazzo;MAG;46.160; 8.9337;715480;113162; 203.20
Magglingen;MGL;47.141; 7.2150;583037;221115; 883.00
Malbun;MAL;47.103; 9.6086;764704;219182;1610.00
Marbach, LU;MBA;46.857; 7.9022;635347;189680; 864.00
Marsens;MAS;46.656; 7.0697;571758;167317; 714.50
Martina;MAT;46.884;10.4630;830464;196986;1041.00
Meiringen;MER;46.732; 8.1692;655844;175930; 588.60
Merishausen;MHA;47.757; 8.6096;687800;290270; 525.00
Mervelier;MEV;47.347; 7.4900;603884;243975; 540.00
Mesocco;MES;46.396; 9.2311;737850;139825; 830.00
Mogelsberg;MGB;47.361; 9.1360;728219;247007; 766.00
Monstein;MST;46.711; 9.7724;778426;176003;1633.00
Montagnier, Bagnes;MOB;46.071; 7.2253;583492;102189; 839.00
Montana;MVE;46.299; 7.4608;601706;127482;1427.00
Montreux-Clarens;CLA;46.442; 6.8994;558560;143600; 405.00
Morbio Superiore;MOS;45.862; 9.0291;723520; 80131; 594.00
Morges;MAC;46.516; 6.5105;528774;152105; 374.00
Morgins;MGI;46.236; 6.8516;554720;120680;1340.00
Mormont;MMO;47.438; 7.0373;569727;254223; 535.00
Mosen;MOA;47.244; 8.2328;660128;232851; 453.04
Mosogno;MSG;46.199; 8.6409;692803;117050; 771.00
Mottec;MTE;46.148; 7.6240;614325;110730;1580.00
Moudon;MDO;46.676; 6.8024;551320;169590; 561.00
Moutier;MOU;47.272; 7.3718;594939;235698; 579.00
Muotathal;MUO;46.972; 8.7652;700940;203190; 620.00
Muri, AG;MUR;47.265; 8.3276;667276;235323; 577.00
Murten;MUT;46.942; 7.1364;576991;199048; 433.00
Möhlin;MOE;47.572; 7.8779;633053;269147; 344.00
Mönchaltorf;ZHMON;47.311; 8.7205;696925;240800; 440.00
Mühleberg;MUB;46.973; 7.2782;587788;202478; 479.79
Mürren;MUE;46.558; 7.8912;634700;156410;1645.00
Müstair;MUS;46.635;10.4585;831185;169358;1248.00
Napf;NAP;47.005; 7.9401;638133;206079;1403.98
Nesselboden;NEB;47.245; 7.5086;605295;232697;1055.00
Neuchâtel;NEU;47.000; 6.9533;563087;205560; 485.00
Niederglatt;ZHNIE;47.491; 8.4759;678170;260580; 410.00
Niederneunforn;NIE;47.596; 8.7797;700860;272510; 440.00
Nyon / Changins;CGI;46.401; 6.2278;506880;139573; 455.00
Oberiberg;OBI;47.037; 8.7786;701841;210464;1075.00
Obstalden;OBD;47.114; 9.1634;730891;219537; 689.00
Olivone;OLI;46.535; 8.9438;715465;154865; 958.00
Opfikon;OPF;47.438; 8.5603;684614;254698; 424.00
Orbe;BOZ;46.735; 6.5430;531550;176420; 437.00
Orsières;ORS;46.021; 7.1419;577022; 96695; 929.00
Orzens;ORZ;46.722; 6.6817;542135;174815; 623.00
Otelfingen;OTE;47.461; 8.3871;671520;257080; 435.00
Passo del Bernina;BEH;46.409;10.0195;798422;143020;2260.00
Payerne;PAY;46.812; 6.9424;562127;184612; 490.00
Payerne / Ville;PAV;46.833; 6.9355;561615;187040; 448.00
Pfäffikon, ZH;PFA;47.366; 8.7699;700555;246928; 540.00
Pigniu;PIG;46.810; 9.1151;727950;185715;1325.00
Pilatus;PIL;46.979; 8.2523;661910;203410;2106.00
Piotta;PIO;46.515; 8.6881;695888;152261; 990.00
Piz Corvatsch;COV;46.418; 9.8212;783151;143522;3302.46
Pleigne;LOB;47.418; 7.2754;587683;251978; 738.00
Ponte Tresa;POT;45.967; 8.8591;710110; 91630; 274.00
Pontresina;PON;46.491; 9.8960;788643;151847;1774.00
Poschiavo / Robbia;ROB;46.347;10.0611;801850;136180;1078.00
Pully;PUY;46.512; 6.6674;540811;151514; 455.61
Punt la Drossa;PUD;46.654;10.1900;810566;170638;1713.00
Reigoldswil;REG;47.399; 7.6731;617700;249870; 602.00
Rempen;REM;47.138; 8.8968;710610;221850; 650.00
Rheinfelden;RHF;47.547; 7.7969;626970;266320; 300.00
Ricken;RIC;47.264; 9.0455;721600;236075; 785.00
Ried, Lötschen;RIE;46.414; 7.8064;628275;140370;1500.00
Riedholz / Wallierhof;WHF;47.234; 7.5627;609394;231491; 518.00
Riex;RIX;46.494; 6.7363;546080;149410; 461.00
Romont;ROM;46.704; 6.9349;561476;172622; 692.00
Rothenbrunnen;ROT;46.766; 9.4185;751220;181300; 622.00
Rünenberg;RUE;47.435; 7.8793;633246;253846; 611.17
S. Bernardino;SBE;46.464; 9.1846;734112;147296;1638.70
Safien Platz;SAP;46.679; 9.3151;743556;171437;1296.00
Saignelégier;SAI;47.257; 6.9812;565379;234076; 883.00
Salen-Reutenen;HAI;47.651; 9.0239;719099;279047; 718.00
Salez / Saxerriet;SAX;47.233; 9.4931;755558;233374; 436.00
Samedan;SAM;46.526; 9.8795;787250;155685;1708.51
Sargans;SAR;47.054; 9.4400;752046;213364; 590.00
Sarnen;SRN;46.891; 8.2467;661580;193690; 475.00
Sattel, SZ;SAG;47.081; 8.6370;690999;215145; 790.10
Savognin;SVG;46.595; 9.5971;765387;162663;1172.00
Schaan;SUA;47.187; 9.4907;755510;228260; 444.00
Schaffhausen;SHA;47.690; 8.6201;688698;282796; 438.00
Schleitheim;SCH;47.744; 8.4816;678225;288730; 499.00
Schwarzenburg;SZB;46.814; 7.3489;593150;184720; 806.00
Schwarzenegg;SCE;46.806; 7.7227;621687;183860; 902.00
Schwägalp;SWA;47.256; 9.3172;742180;235650;1348.00
Schänis;SCA;47.170; 9.0207;719940;225580; 415.00
Scudellate;SCD;45.922; 9.0393;724175; 86850; 925.00
Scuol;SCU;46.793;10.2832;817135;186393;1303.93
Sedrun;SED;46.672; 8.7452;699974;169845;1429.00
Seengen;SNG;47.327; 8.1884;656680;242110; 445.00
Segl-Maria;SIA;46.432; 9.7623;778575;144976;1804.00
Sempach;SPA;47.135; 8.1957;657433;220760; 532.00
Semsales;SEM;46.576; 6.9313;561110;158430; 873.00
Sevelen;SEV;47.124; 9.4895;755605;221302; 457.00
Siebnen;SIE;47.172; 8.9005;710821;225538; 452.00
Sierre;SRE;46.298; 7.5572;609138;127458; 536.00
Sihlbrugg;SIH;47.221; 8.5783;686318;230586; 549.00
Simplon-Dorf;SIM;46.197; 8.0563;647683;116340;1465.00
Sion;SIO;46.219; 7.3302;591630;118575; 482.00
Soglio;SOG;46.342; 9.5352;761393;134474;1086.00
Splügen;SDO;46.553; 9.3220;744420;157435;1460.00
St. Gallen;STG;47.425; 9.3985;747865;254588; 775.66
St. Peterzell;SPZ;47.317; 9.1747;731250;242140; 700.00
St. Urban;STU;47.220; 7.8496;631125;230015; 491.00
Sta. Maria, Val Müstair;SMM;46.602;10.4263;828861;165580;1383.00
Stabio;SBO;45.843; 8.9324;716050; 77966; 353.00
Stalden / Ackersand;AST;46.241; 7.8746;633630;121150; 700.00
Stans;SNS;46.970; 8.3443;668918;202459; 438.00
Starkenbach;STB;47.185; 9.2504;737313;227576; 897.00
Steckborn;STE;47.662; 8.9723;715200;280150; 399.50
Stiegelschwand;SGD;46.488; 7.5333;607270;148550;1467.00
Stöckalp;STP;46.800; 8.2812;664320;183550;1070.00
Sulgen;SUG;47.542; 9.1791;731025;267175; 445.00
Susch;SUS;46.755;10.0830;802002;181593;1416.00
Säntis;SAE;47.249; 9.3436;744200;234920;2502.00
Tamins;TAM;46.832; 9.4069;750155;188614; 667.00
Tavanasa;TAV;46.751; 9.0452;722750;178980; 800.00
Teufen, AR;TEU;47.388; 9.3961;747784;250409; 834.00
Thierrens;THI;46.703; 6.7531;547570;172610; 770.00
Thun;THU;46.750; 7.5852;611201;177640; 570.00
Thusis;THS;46.709; 9.4417;753155;175089; 672.00
Tiefencastel;TIC;46.664; 9.5714;763205;170350; 890.00
Torricella / Crana;CTO;46.076; 8.8954;712695;103746;1002.00
Tour de Gourze;TDG;46.510; 6.7409;546450;151240; 915.00
Trogen;TRO;47.399; 9.4546;752170;251770; 975.00
Trun;TRU;46.744; 9.0088;719985;178224; 834.00
Tschiertschen;TST;46.820; 9.6081;765538;187679;1273.00
Turbenthal;ZHTUR;47.434; 8.8615;707340;254670; 570.00
Uerikon;UER;47.236; 8.7559;699740;232470; 415.00
Ulrichen;ULR;46.505; 8.3081;666740;150760;1345.87
Unterkulm;UNK;47.320; 8.1111;650838;241212; 454.00
Unterschächen;UNS;46.871; 8.7753;701900;192000;1470.00
Urnerboden;URB;46.899; 8.9171;712650;195250;1395.00
Urnäsch;URN;47.312; 9.2798;739205;241765; 825.00
Uster;UST;47.351; 8.6922;694712;245206; 438.00
Vaduz;VAD;47.127; 9.5175;757719;221697; 457.25
Valeyres-sous-Rances;VAR;46.753; 6.5255;530230;178350; 512.00
Vallorbe;VVI;46.713; 6.3845;519400;174060; 748.00
Vals;VLS;46.628; 9.1887;734016;165552;1242.00
Vevey / Corseaux;VEV;46.471; 6.8151;552106;146847; 405.00
Villars-Tiercelin;VIT;46.622; 6.7101;544198;163651; 859.00
Vira, Gambarogno;VIG;46.143; 8.8414;708384;111187; 209.00
Visp;VIS;46.303; 7.8429;631149;128020; 639.00
Vrin;VRI;46.656; 9.1035;727424;168526;1384.00
Vättis;VAE;46.909; 9.4436;752732;197282; 939.00
Wahlendorf;WDO;47.004; 7.3367;592250;205940; 760.00
Wald / Tanne;TAW;47.420; 9.5197;757025;254230;1075.00
Waldegg;WAG;47.362; 8.4566;676900;246180; 550.00
Wasen im Emmental;WIE;47.045; 7.8051;627850;210550; 770.00
Weesen;WEE;47.132; 9.0861;724983;221383; 425.00
Weinfelden;WEF;47.568; 9.1185;726403;269983; 477.00
Weissfluhjoch;WFJ;46.833; 9.8064;780615;189634;2691.24
Weisstannen;WET;46.988; 9.3435;744900;205820;1010.00
Widnau;WID;47.369; 9.6431;766485;248850; 411.00
Wil, ZH;WBR;47.605; 8.5070;680340;273225; 406.00
Wilchingen;WCH;47.668; 8.4645;677050;280200; 420.00
Wildhaus;WHA;47.201; 9.3674;746129;229568; 998.00
Wimmis;WIS;46.671; 7.6638;617229;168864; 648.00
Winterthur / Seen;WIN;47.475; 8.7632;699845;259054; 506.00
Wittnau;WIT;47.480; 7.9685;639941;258983; 463.00
Witzwil;WIW;46.999; 7.0526;570636;205385; 433.00
Wynau;WYN;47.255; 7.7874;626400;233850; 422.00
Wädenswil;WAE;47.221; 8.6777;693847;230744; 485.37
Yverdon-les-Bains;YVN;46.782; 6.6510;539855;181540; 433.00
Zell / Rämismühle;ZHZEL;47.443; 8.8148;703795;255605; 524.00
Zermatt;ZER;46.029; 7.7531;624350; 97560;1638.35
Zernez;ZNZ;46.698;10.0896;802721;175275;1470.00
Zervreila;ZEV;46.579; 9.1188;728780;159993;1738.00
Zugerberg;ZUB;47.144; 8.5326;682975;222000; 920.00
Zweisimmen;ZWE;46.551; 7.3848;595870;155480;1015.00
Zwillikon;ZWK;47.290; 8.4319;675138;238165; 461.00
Zürich / Affoltern;REH;47.428; 8.5179;681428;253546; 443.53
Zürich / Fluntern;SMA;47.378; 8.5657;685117;248066; 555.95
Zürich / Kloten;KLO;47.480; 8.5359;682710;259339; 426.26
